,4N Prelim Exam Invigilation Schedule 2026,4N Prelim Exam Invigilation Schedule 2026,4N Prelim Exam Invigilation Schedule 2026,4N Prelim Exam Invigilation Schedule 2026,4N Prelim Exam Invigilation Schedule 2026,4N Prelim Exam Invigilation Schedule 2026,4N Prelim Exam Invigilation Schedule 2026,4N Prelim Exam Invigilation Schedule 2026,4N Prelim Exam Invigilation Schedule 2026,4N Prelim Exam Invigilation Schedule 2026,4N Prelim Exam Invigilation Schedule 2026,4N Prelim Exam Invigilation Schedule 2026,4N Prelim Exam Invigilation Schedule 2026,4N Prelim Exam Invigilation Schedule 2026,4N Prelim Exam Invigilation Schedule 2026,4N Prelim Exam Invigilation Schedule 2026,,,,,,,,,,,,,,,,,,
,28 July 2026 (Odd Tues),28 July 2026 (Odd Tues),28 July 2026 (Odd Tues),28 July 2026 (Odd Tues),28 July 2026 (Odd Tues),28 July 2026 (Odd Tues),28 July 2026 (Odd Tues),28 July 2026 (Odd Tues),28 July 2026 (Odd Tues),28 July 2026 (Odd Tues),28 July 2026 (Odd Tues),28 July 2026 (Odd Tues),28 July 2026 (Odd Tues),28 July 2026 (Odd Tues),28 July 2026 (Odd Tues),28 July 2026 (Odd Tues),,,,,,,,,,,,,,,,,,
,SESSION 1,SESSION 1,SESSION 1,SESSION 1,SESSION 1,SESSION 1,SESSION 1,SESSION 1,SESSION 1,,,SESSION 2,SESSION 2,SESSION 2,SESSION 2,SESSION 2,SESSION 2,SESSION 2,SESSION 2,SESSION 2,,,,,,,,,,,,,,
,Time,Subject,Subject,Subject,Duration,Exam Venue,AA ROOM,"END TIME 
(AA ROOM)",Extra Time Duration,,,Time,Subject,Subject,Subject,Duration,Exam Venue,AA ROOM,"END TIME 
(AA ROOM)",Extra Time Duration,,,,,,,,,,,,,,
NA,8:45 - 10:45,"CHINESE PAPER 1 
MALAY PAPER 1 
TAMIL PAPER 1","CHINESE PAPER 1 
MALAY PAPER 1 
TAMIL PAPER 1","CHINESE PAPER 1 
MALAY PAPER 1 
TAMIL PAPER 1",2H,"4CLJ - A505
4CLK - A505
4MLJ -A504
4TLJ- A504",A312,11:15,2h 30M,,,12:10 - 13:40,"CHINESE LANGUAGE PAPER 2 
MALAY LANGUAGE PAPER 2 
TAMIL LANGUAGE PAPER 2 
(eASSESSMENT)","CHINESE LANGUAGE PAPER 2 
MALAY LANGUAGE PAPER 2 
TAMIL LANGUAGE PAPER 2 
(eASSESSMENT)","CHINESE LANGUAGE PAPER 2 
MALAY LANGUAGE PAPER 2 
TAMIL LANGUAGE PAPER 2 
(eASSESSMENT)",1H 30M,"A503- 4TLJ
A502 -4CLK / 4MLJ
A503 - 4TLJ",NO AA ROOM,12:10 -14:05,1H 55M,,,,,,,,,,,,,,
NT,8:45 - 9:25,"BASIC CHINESE LANGUAGE PAPER 2 BASIC MALAY LANGUAGE PAPER 2 BASIC TAMIL LANGUAGE PAPER 2 
(eASSESSMENT)
","BASIC CHINESE LANGUAGE PAPER 2 BASIC MALAY LANGUAGE PAPER 2 BASIC TAMIL LANGUAGE PAPER 2 
(eASSESSMENT)
","BASIC CHINESE LANGUAGE PAPER 2 BASIC MALAY LANGUAGE PAPER 2 BASIC TAMIL LANGUAGE PAPER 2 
(eASSESSMENT)
",40M,"4TLP -A502
4MLP-A502
4CLP-A502
4CLP-A503",NO AA ROOM,09:35,50M,,,10:30 - 11:00,"BASIC CHINESE LANGUAGE PAPER 3 BASIC MALAY LANGUAGE PAPER 3 BASIC TAMIL LANGUAGE PAPER 3 (LISTENING COMPREHENSION)

","BASIC CHINESE LANGUAGE PAPER 3 BASIC MALAY LANGUAGE PAPER 3 BASIC TAMIL LANGUAGE PAPER 3 (LISTENING COMPREHENSION)

","BASIC CHINESE LANGUAGE PAPER 3 BASIC MALAY LANGUAGE PAPER 3 BASIC TAMIL LANGUAGE PAPER 3 (LISTENING COMPREHENSION)

","30M 
NO EXTRA TIME
","A503- 4TLP
A502 -4MLP
A501-4CLP",NO AA ROOM,11:00,NO EXTRA TIME,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Session 1,Session 1,Session 1,Session 1,Session 1,Session 1,Session 1,Session 1,Session 1,Session 1,,SESSION 2,SESSION 2,SESSION 2,SESSION 2,SESSION 2,SESSION 2,SESSION 2,SESSION 2,SESSION 2,SESSION 2,SESSION 2,SESSION 2,SESSION 2,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,,,6,7,8,9,10,11,12,13,14,15,16,17,,,,,,,,,,
,,08:30,08:50,09:10,09:30,09:50,10:10,10:30,10:50,11:10,,,10:10,10:30,10:50,11:10,11:30,11:50,12:10,12:30,12:50,13:10,13:30,13:50,,,,,,,,,,
