,4N Prelim Exam Invigilation Schedule 2026,4N Prelim Exam Invigilation Schedule 2026,4N Prelim Exam Invigilation Schedule 2026,4N Prelim Exam Invigilation Schedule 2026,4N Prelim Exam Invigilation Schedule 2026,4N Prelim Exam Invigilation Schedule 2026,4N Prelim Exam Invigilation Schedule 2026,4N Prelim Exam Invigilation Schedule 2026,4N Prelim Exam Invigilation Schedule 2026,4N Prelim Exam Invigilation Schedule 2026,4N Prelim Exam Invigilation Schedule 2026,4N Prelim Exam Invigilation Schedule 2026,4N Prelim Exam Invigilation Schedule 2026,4N Prelim Exam Invigilation Schedule 2026,4N Prelim Exam Invigilation Schedule 2026,4N Prelim Exam Invigilation Schedule 2026,,,,,,,,,,,,,,,,,
,4 Aug 2026 (Even Wed),4 Aug 2026 (Even Wed),4 Aug 2026 (Even Wed),4 Aug 2026 (Even Wed),4 Aug 2026 (Even Wed),4 Aug 2026 (Even Wed),4 Aug 2026 (Even Wed),4 Aug 2026 (Even Wed),4 Aug 2026 (Even Wed),4 Aug 2026 (Even Wed),4 Aug 2026 (Even Wed),4 Aug 2026 (Even Wed),4 Aug 2026 (Even Wed),4 Aug 2026 (Even Wed),4 Aug 2026 (Even Wed),4 Aug 2026 (Even Wed),,,,,,,,,,,,,,,,,
,SESSION 1,SESSION 1,SESSION 1,SESSION 1,SESSION 1,SESSION 1,SESSION 1,SESSION 1,SESSION 1,,SESSION 2,SESSION 2,SESSION 2,SESSION 2,SESSION 2,SESSION 2,SESSION 2,SESSION 2,SESSION 2,,,,,,,,,,,,,,
,Time,Subject,Subject,Subject,Duration,Exam Venue,AA ROOM,"END TIME 
(AA ROOM)",Extra Time Duration,,Time,Subject,Subject,Subject,Duration,Exam Venue,AA ROOM,"END TIME 
(AA ROOM)",Extra Time Duration,,,,,,,,,,,,,,
NA,"8:45 - 10:30 
8:45 - 10:15",ADDITIONAL MATHEMATICS PAPER 2 LITERATURE IN ENGLISH PAPER 2,ADDITIONAL MATHEMATICS PAPER 2 LITERATURE IN ENGLISH PAPER 2,ADDITIONAL MATHEMATICS PAPER 2 LITERATURE IN ENGLISH PAPER 2,"1H 45M 
1H 30M","A504 - 4AMJ
A504 - 4LTJ",A312,"10:55
10:40",2H 10M,,"11:50 -14:05 
11:50 -13:20 
11:50 -13:20","ART (REVISED) PAPER 1 
DESIGN &TECHNOLOGY PAPER 1 
NUTRITION & FOOD SCIENCE PAPER 1","ART (REVISED) PAPER 1 
DESIGN &TECHNOLOGY PAPER 1 
NUTRITION & FOOD SCIENCE PAPER 1","ART (REVISED) PAPER 1 
DESIGN &TECHNOLOGY PAPER 1 
NUTRITION & FOOD SCIENCE PAPER 1","2H 15M 
1H 30M 
1H 30M","A504 - 4ARJ
A504 - 4DTJ
A504 - 4NFJ",A312,"11:50 -14:35
1150 - 13:45
11:50 - 13:45
","2H 45M
1H 55M
1H 55M",,,,,,,,,,,,,,
NT,8:45 - 10:15,COMPUTER APPLICATIONS PAPER 2,COMPUTER APPLICATIONS PAPER 2,COMPUTER APPLICATIONS PAPER 2,1H 30M,4CPP,NO AA ROOM,10:40,1H 55M,,,NO PAPER,NO PAPER,NO PAPER,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SESSION 1,SESSION 1,SESSION 1,SESSION 1,SESSION 1,SESSION 1,SESSION 1,SESSION 1,SESSION 1,,SESSION 2,SESSION 2,SESSION 2,SESSION 2,SESSION 2,SESSION 2,SESSION 2,SESSION 2,SESSION 2,SESSION 2,SESSION 2,SESSION 2,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,,,10,11,12,13,14,15,16,17,18,19,20,,,,,,,,,,,
,,08:30,08:50,09:10,09:30,09:50,10:10,10:30,10:50,,,11:30,11:50,12:10,12:30,12:50,13:10,13:30,13:50,14:10,14:30,14:50,,,,,,,,,,,
